County,Total,Trump,County Code,Population,mean_income,unemployment,veteran_rate,Male,median_age,pct_white,pct_bluecollar,pct_degree
MARATHON ,69518,39014,55073,135367,28773,4.8,8.8,68051,40.7,91.5,28.0,23.9
MARINETTE ,20343,13122,55075,41090,25231,6.6,13.1,20622,47.5,96.9,36.6,14.5
MARQUETTE ,7891,4709,55077,15082,25268,6.3,12.3,7661,49.1,95.8,37.6,13.8
MENOMINEE ,1308,267,55078,4457,15171,11,9.1,2205,30.8,9.6,22.7,16.5
MILWAUKEE ,441053,126069,55079,955306,25881,8.1,6.5,462020,34.3,61.1,21.1,29.7
MONROE ,19699,11356,55081,45365,24971,6.1,15.7,22874,39.2,93.4,32.2,18.2
OCONTO ,20206,13345,55083,37475,27623,5,11.5,19134,45.8,96.3,36.6,16.2
ONEIDA ,21531,12132,55085,35604,28084,5.1,12,17961,50.3,96.2,24.1,26.2
OUTAGAMIE ,93933,49879,55087,181799,29663,3.7,7.8,90637,37.9,90.3,27.3,27.8
OZAUKEE ,54560,30464,55089,87625,44369,3.5,7.5,42971,43.9,94.4,16.9,46.7
PEPIN ,3735,2206,55091,7349,26280,4.2,9.4,3716,45.5,98.1,32.1,18.3
PIERCE ,21376,11272,55093,40881,30009,2.8,7.7,20328,36,96.5,29.2,27.8
POLK ,22745,13810,55095,43483,27066,5.8,9.8,21904,44.5,96.3,33.7,19.6
PORTAGE ,38589,17305,55097,70551,26832,6.2,7.9,35384,36.3,93.7,25.0,30.3
PRICE ,7568,4559,55099,13707,27987,3.9,11.8,6893,51.3,96.6,37.3,16.2
RACINE ,94302,46681,55101,194873,28436,7.5,8.8,96388,39.9,80.1,27.6,24
RICHLAND ,8069,4013,55103,17642,24961,3.6,8.9,8912,44.5,96.3,35.8,17.8
ROCK ,76074,31493,55105,160986,25884,7.4,9,79211,39.1,89.4,29.8,20.8
RUSK ,7088,4564,55107,14272,22651,4.9,10.5,7180,47.9,96.8,38.9,14.8
SAUK ,31357,14799,55109,86726,34679,4.1,7.9,43307,37.9,96.3,23.6,33.4
SAWYER ,9137,5185,55111,63317,26736,4.8,9.4,31647,41.4,95,26.8,22.3
SHAWANO ,19810,12769,55113,16438,25680,7.7,11.4,8333,49.5,77.7,25.4,22.1
SHEBOYGAN ,59766,32514,55115,41384,25286,4.5,9.9,20689,44.7,89.5,33.1,15.6
ST. CROIX ,47508,26222,55117,115269,27796,5.1,8,57928,41.4,90,31.7,23.6
TAYLOR ,9471,6579,55119,20521,24907,4.5,8.9,10498,43.4,97.7,43.3,13.5
TREMPEALEAU ,13687,7366,55121,29521,26002,3.3,8.5,14895,40.8,93.3,37.6,19.3
VERNON ,14275,7004,55123,30442,24414,3.6,8.9,15269,42.4,97.3,31.6,21.2
VILAS ,13611,8166,55125,21373,27537,7.7,12.7,10705,52.9,86.4,22.7,26.8
WALWORTH ,51391,28863,55127,103021,28085,6.4,7.5,51470,39,93.4,27.2,27.8
WASHBURN ,9193,5436,55129,15685,26570,5.3,12.8,7808,50,95.6,30.3,21.6
WASHINGTON ,76757,51740,55131,133422,34722,4,8.3,66198,42.4,95.5,25.2,29.4
WAUKESHA ,237593,142543,55133,395377,40174,3.7,7.6,194157,43,92.7,17.7,41.6
WAUPACA ,26095,16209,55135,51974,28145,4.5,11.2,26369,44.8,96.8,36.1,17.7
WAUSHARA ,12074,7667,55137,24238,24861,6.3,11.9,12720,48.5,93.6,37.9,15.1
WINNEBAGO ,87135,43445,55139,169487,28446,4.4,8.9,85414,37.9,92.5,27.1,26.9
WOOD ,37818,21498,55141,73621,27687,5.7,9.7,36286,43.7,95.1,30.1,20.4
